method_candidate,evaluation,scenario,window_start_h,horizon_h,region,status_candidate,solver_success_candidate,solver_mode_candidate,runtime_s_candidate,mip_gap_candidate,cost_CNY_candidate,carbon_tCO2_candidate,peak_net_import_MW_candidate,load_std_MW_candidate,renewable_utilization_ratio_candidate,curtailment_MWh_candidate,terminal_SOC_MWh_candidate,initial_SOC_MWh_candidate,grid_import_peak_margin_MW_candidate,max_charge_MW_candidate,max_discharge_MW_candidate,method_baseline,status_baseline,solver_success_baseline,solver_mode_baseline,runtime_s_baseline,mip_gap_baseline,cost_CNY_baseline,carbon_tCO2_baseline,peak_net_import_MW_baseline,load_std_MW_baseline,renewable_utilization_ratio_baseline,curtailment_MWh_baseline,terminal_SOC_MWh_baseline,initial_SOC_MWh_baseline,grid_import_peak_margin_MW_baseline,max_charge_MW_baseline,max_discharge_MW_baseline,cost_saving_CNY,carbon_reduction_tCO2,peak_reduction_MW,std_reduction_MW,renewable_utilization_gain_pp
carbon_aware_MILP,rolling_block,observed,1344,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0267552000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5667576831,58227.7673955004,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5667576831,58227.7673955004,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1512,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0238352000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5670357791,58190.3912955004,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5670357791,58190.3912955004,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1680,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272593000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706358995,57706.5351049495,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706358995,57706.5351049495,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1848,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0254560000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5704063192,57737.3906973003,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5704063192,57737.3906973003,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2016,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0310230000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699837812,57794.1798004500,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699837812,57794.1798004500,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2184,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0280443000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5721714442,57500.1579000000,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5721714442,57500.1579000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2352,55,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0110655000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5906723685,17817.2377040496,350.0000000000,350.0000000000,550.0000000000,100.0000000000,100.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5896771484,17860.5577040496,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0995220095
carbon_aware_MILP,rolling_block,observed,0,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0315697000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5659785321,58332.4852922217,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5645704419,58521.7326040496,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1408090118
carbon_aware_MILP,rolling_block,observed,168,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0236650000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634387020,58673.8384491001,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634387020,58673.8384491001,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,336,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0245011000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635331820,58661.1403432507,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635331820,58661.1403432507,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
