method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,rolling_block,observed,2352,55,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5738970552,18547.4345473001,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5756259697,57035.8696772403,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5724162272,57467.2590618398,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5734932433,57322.5081013799,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,504,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5718060598,57549.2655645995,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5765088103,56917.2158977002,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5740542072,57247.1145572403,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5728328763,57411.2614227597,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5735969076,57308.5756181602,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1344,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5734090982,57333.8171972403,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5738260143,57277.7836790801,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5716213616,57574.0890064394,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711600166,57636.0937731007,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2016,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699911237,57793.1929790801,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2184,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5705280812,57721.0258809199,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2352,55,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5829379903,18153.9001800000,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9379139.6789093111,0.0000000000,-73.5096000000,29.8176160610,0.7683079619,31139.4099195734,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9519773.2420572806,0.0000000000,-53.8668000000,30.3530176466,0.7688663339,31064.3647200000,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9620621.3175039068,0.0000000000,-72.8620000000,28.7074115860,0.7695544613,30971.8804059727,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,504,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9545945.0678815041,0.0000000000,-70.0792000000,32.5254160391,0.7698974857,30925.7779208532,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9644543.2164202519,0.0000000000,-66.9995995734,29.7445144038,0.7703659155,30862.8209621331,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9394268.2245942391,0.0000000000,-58.7436000000,33.0334742544,0.7692728524,31009.7286374403,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9394600.8932066467,0.0000000000,-68.9452004266,29.1002962816,0.7714107565,30722.3943221331,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9299716.0488058869,0.0000000000,-74.6924000000,29.0830700621,0.7722680571,30607.1731246929,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
