method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
carbon_aware_MILP,rolling_block,observed,1008,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0246061000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5626322879,58782.2205000000,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1176,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0376284000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5643227713,58555.0195432507,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1344,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0242810000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634773337,58668.6463531497,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1512,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0283946000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5651443426,58444.6003491001,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1680,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0315854000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5620383582,58862.0446522498,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1848,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0266443000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5601066429,59121.6671950505,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2016,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0288937000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5629308248,58742.0971441506,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2184,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0262668000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5641178403,58582.5622576492,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2352,55,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0116096000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5747927533,18508.4465473001,320.0000000000,320.0000000000,520.0000000000,90.0000000000,90.0000000000
carbon_aware_MILP,rolling_block,observed,0,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0678589000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5769460541,56858.4503224016,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,168,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0250015000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5724162272,57467.2590618398,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,336,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0249897000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5734932433,57322.5081013799,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,504,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0274869000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5718060598,57549.2655645995,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,672,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0296495000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5765088103,56917.2158977002,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,840,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0277706000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5740542072,57247.1145572403,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1008,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0319564000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5728328763,57411.2614227597,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1176,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0290565000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5735969076,57308.5756181602,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1344,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0302970000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5734090982,57333.8171972403,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1512,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0267471000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5738260143,57277.7836790801,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1680,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0273906000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5716213616,57574.0890064394,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1848,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0239977000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711600166,57636.0937731007,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2016,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272221000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699911237,57793.1929790801,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2184,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0241691000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5705280812,57721.0258809199,300.0000000000,300.0000000000,510.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2352,55,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0132055000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5837839274,18117.0781800000,300.0000000000,300.0000000000,510.0000000000,85.0000000000,85.0000000000
carbon_aware_MILP,rolling_block,observed,0,168,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0966612000,0.0000000000,-10049878.8000000007,0.0000000000,-180.0000000000,0.0000000000,0.7923607796,27906.7112255749,681.5174188961,405.0000000000,510.0000000000,260.0000000000,106.4904000000
carbon_aware_MILP,rolling_block,observed,168,168,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1297808000,0.0000000000,-10186406.9999999963,0.0000000000,-180.0000000000,0.0000000000,0.7916156946,28006.8506431609,784.5032267239,681.5174188961,510.0000000000,260.0000000000,126.1332000000
