period,method,region,task_type,mae_gpu_h,rmse_gpu_h,wape,mase_24h,actual_total_gpu_h,coverage_95,mean_interval_width_gpu_h
blind_test,seasonal_baseline,RegionA,BatchInference,79.7479166667,111.8577805391,1.0943006070,1.1043514526,1749.0166666667,1.0000000000,2768.1280303030
blind_test,seasonal_baseline,RegionA,AITraining,82.4111111111,174.6100676958,1.3852547042,0.5607217325,1427.8000000000,1.0000000000,801.1361111111
blind_test,seasonal_baseline,RegionB,RealTimeInference,13.2569444444,16.4431279972,0.5776795981,0.4868298679,550.7666666667,1.0000000000,1070.4747235513
blind_test,seasonal_baseline,RegionB,BatchInference,56.9138888889,84.3278245346,0.6560363735,0.7975863337,2082.1000000000,1.0000000000,2725.7449175970
blind_test,seasonal_baseline,RegionB,AITraining,175.2958333333,273.9997653926,1.8888365098,1.1799339921,2227.3500000000,1.0000000000,1099.8278728070
blind_test,seasonal_baseline,RegionC,RealTimeInference,23.1104166667,30.3011434435,1.0815053134,0.9450064501,512.8500000000,1.0000000000,724.5968607124
blind_test,seasonal_baseline,RegionC,BatchInference,51.9909722222,65.3558196316,1.3085204929,0.8581515771,953.5833333333,1.0000000000,1992.1324840510
blind_test,seasonal_baseline,RegionC,AITraining,138.1145833333,193.9876704451,2.3291641781,0.9920824201,1423.1500000000,1.0000000000,986.6944497608
blind_test,seasonal_baseline,RegionD,RealTimeInference,4.1576388889,8.1835179036,1.3077763215,0.8440874060,76.3000000000,0.6666666667,3.9303920455
blind_test,seasonal_baseline,RegionD,BatchInference,109.0812500000,137.7465233227,1.3267647034,1.5007063101,1973.1833333333,1.0000000000,2457.7468700159
blind_test,seasonal_baseline,RegionD,AITraining,677.8868055556,899.8132968831,1.4530989496,1.2750620904,11196.2666666667,1.0000000000,17376.7660639288
blind_test,seasonal_baseline,RegionE,RealTimeInference,8.8541666667,15.6620390624,2.3867465369,1.3563314464,89.0333333333,0.7083333333,9.6164546784
blind_test,seasonal_baseline,RegionE,BatchInference,60.6673611111,78.9080410779,0.9748044499,1.1446913722,1493.6500000000,1.0000000000,1898.5313543328
blind_test,seasonal_baseline,RegionE,AITraining,528.7611111111,636.8398959177,0.8060997197,1.2756520738,15742.8000000000,1.0000000000,15454.0492982456
blind_test,seasonal_baseline,RegionF,RealTimeInference,6.1958333333,13.0885145438,2.3374377784,1.1913651655,63.6166666667,0.7083333333,5.4154289053
blind_test,seasonal_baseline,RegionF,BatchInference,57.2541666667,77.4508459713,1.8726661518,1.1264501304,733.7666666667,1.0000000000,1415.5595188729
blind_test,seasonal_baseline,RegionF,AITraining,473.1715277778,606.9692901443,0.6695737967,1.0812951057,16960.2166666667,1.0000000000,10437.6762533227
blind_test,shared_hgbr_reconciled,RegionA,RealTimeInference,25.6755413857,29.9716236746,0.8426076163,0.8717920192,731.3166666667,0.9166666667,81.2113529965
blind_test,shared_hgbr_reconciled,RegionA,BatchInference,63.1297298875,83.0132729156,0.8662659117,0.8742223223,1749.0166666667,0.9583333333,252.4898846906
blind_test,shared_hgbr_reconciled,RegionA,AITraining,104.1963240402,161.9934422377,1.7514440236,0.7089474047,1427.8000000000,0.9583333333,362.4509628829
blind_test,shared_hgbr_reconciled,RegionB,RealTimeInference,24.1372999734,45.5094199437,1.0517978564,0.8863851401,550.7666666667,0.9583333333,124.5656904156
blind_test,shared_hgbr_reconciled,RegionB,BatchInference,74.4847376940,98.5237762968,0.8585724531,1.0438226945,2082.1000000000,1.0000000000,308.3714259249
blind_test,shared_hgbr_reconciled,RegionB,AITraining,145.6275896098,194.5634504846,1.5691571377,0.9802340415,2227.3500000000,0.8333333333,375.8703802370
blind_test,shared_hgbr_reconciled,RegionC,RealTimeInference,22.6855033050,30.2725925168,1.0616205115,0.9276313472,512.8500000000,0.9583333333,87.1611209238
blind_test,shared_hgbr_reconciled,RegionC,BatchInference,34.6749747838,44.9917283845,0.8727075712,0.5723375237,953.5833333333,1.0000000000,205.3527265091
blind_test,shared_hgbr_reconciled,RegionC,AITraining,125.7720252366,152.2142473432,2.1210192922,0.9034253456,1423.1500000000,1.0000000000,580.4533004247
blind_test,shared_hgbr_reconciled,RegionD,RealTimeInference,5.0891957978,6.9895017300,1.6007955327,1.0332128870,76.3000000000,0.9166666667,12.7034240507
blind_test,shared_hgbr_reconciled,RegionD,BatchInference,77.7849580281,95.9513477506,0.9461051901,1.0701415444,1973.1833333333,0.9583333333,249.2851211146
blind_test,shared_hgbr_reconciled,RegionD,AITraining,527.2823475864,692.0414941443,1.1302675007,0.9917846562,11196.2666666667,0.9166666667,1833.8287119540
blind_test,shared_hgbr_reconciled,RegionE,RealTimeInference,4.8835570788,7.3829180236,1.3164212268,0.7480909594,89.0333333333,0.9166666667,18.8492211744
blind_test,shared_hgbr_reconciled,RegionE,BatchInference,49.7080484355,67.0372909689,0.7987099806,0.9379075194,1493.6500000000,0.9583333333,211.8483583970
blind_test,shared_hgbr_reconciled,RegionE,AITraining,486.2587375018,601.5436220323,0.7413045773,1.1731138199,15742.8000000000,0.9583333333,1687.8841410968
blind_test,shared_hgbr_reconciled,RegionF,RealTimeInference,5.1073357861,7.7154585666,1.9267915986,0.9820635283,63.6166666667,0.9583333333,13.2919266036
blind_test,shared_hgbr_reconciled,RegionF,BatchInference,41.5802775127,51.5939464497,1.3600054427,0.8180733692,733.7666666667,1.0000000000,164.8722097471
blind_test,shared_hgbr_reconciled,RegionF,AITraining,415.0279130616,546.5211455573,0.5872961478,0.9484248835,16960.2166666667,0.8750000000,1394.1248282469
